8,Edison Kinetoscopic Record of a Sneeze (1894),Documentary|Short
10,La sortie des usines Lumière (1895),Documentary|Short
91,Le manoir du diable (1896),Short|Horror
417,Le voyage dans la lune (1902),Short|Adventure|Fantasy
439,The Great Train Robbery (1903),Short|Western
628,The Adventures of Dollie (1908),Action|Short
833,The Country Doctor (1909),Short|Drama
1223,Frankenstein (1910),Short|Horror|Sci-Fi
1740,The Lonedale Operator (1911),Short|Drama|Romance|Western
2101,Cleopatra (1912),Drama|History
2130,L'inferno (1911),Adventure|Drama|Fantasy
2844,Fantômas - À l'ombre de la guillotine (1913),Crime|Drama
3740,Cabiria (1914),Adventure|Drama|War
4099,His Majesty, the Scarecrow of Oz (1914)
4936,The Bank (1915),Comedy|Short
4972,The Birth of a Nation (1915),Drama|History|Romance|War
5078,The Cheat (1915),Drama
5530,L'héroïsme de Paddy (1915),
6414,Behind the Screen (1916),Short|Comedy|Romance
6684,The Fireman (1916),Short|Comedy
6689,The Floorwalker (1916),Short|Comedy
7264,The Rink (1916),Comedy|Short
7832,The Cure (1917),Short|Comedy
7880,Easy Street (1917),Short|Comedy
8133,The Immigrant (1917),Short|Comedy|Drama|Romance
8395,Otets Sergiy (1918),Biography|Drama|History
9018,A Dog's Life (1918),Short|Comedy
9968,Broken Blossoms or The Yellow Man and the Girl (1919),Drama|Romance
10247,Herr Arnes pengar (1919),Drama|History
10323,Das Cabinet des Dr. Caligari (1920),Horror
11267,Headin' Home (1920),Biography|Comedy|Drama|Sport
11508,Neighbors (1920),Short|Comedy|Romance
11541,One Week (1920),Short|Comedy
11607,Prästänkan (1920),Comedy|Drama|Horror
11717,The Son of Tarzan (1920),Action|Adventure
11870,Within Our Gates (1920),Drama|Romance
12278,The 'High Sign' (1921),Short|Comedy
12349,The Kid (1921),Comedy|Drama|Family
12364,Körkarlen (1921),Drama|Fantasy|Horror
12651,Schloß Vogeloed (1921),Crime|Drama|Horror|Mystery
13025,Cops (1922),Short|Comedy|Family
13086,Dr. Mabuse, der Spieler - Ein Bild der Zeit (1922)
13140,Foolish Wives (1922),Drama
13257,Häxan (1922),Documentary|Horror
13427,Nanook of the North (1922),Documentary
13442,Nosferatu, eine Symphonie des Grauens (1922)
14142,The Hunchback of Notre Dame (1923),Drama|Romance
14341,Our Hospitality (1923),Comedy|Family
14417,La roue (1923),Drama
14429,Safety Last! (1923),Comedy|Romance|Thriller
14538,Three Ages (1923),Comedy
14624,A Woman of Paris, A Drama of Fate (1923)
14872,Entr'acte (1924),Short
14972,He Who Gets Slapped (1924),Drama|Thriller
15002,Hot Water (1924),Comedy
15064,Der letzte Mann (1924),Drama
15163,The Navigator (1924),Action|Comedy
15174,Die Nibelungen, Kriemhilds Rache (1924)
15175,Die Nibelungen, Siegfried (1924)
15310,The Sea Hawk (1924),Adventure|Drama|Romance
15324,Sherlock Jr. (1924),Comedy|Fantasy
15361,Stachka (1925),Drama
15400,The Thief of Bagdad (1924),Adventure|Family|Fantasy|Romance
15532,Die Abenteuer des Prinzen Achmed (1926),Animation|Adventure|Fantasy|Romance
15624,The Big Parade (1925),Drama|Romance|War
15648,Bronenosets Potyomkin (1925),Drama|History
15768,Du skal ære din hustru (1925),Drama
15772,De adelaar (1925),Action|Comedy|Drama
15864,The Gold Rush (1925),Adventure|Comedy|Family|Romance|Western
15881,Greed (1924),Drama
16172,Oh, Doctor! (1925)
16220,The Phantom of the Opera (1925),Horror|Thriller
16230,The Pleasure Garden (1925),Comedy|Crime|Drama|Romance|Thriller
16332,Seven Chances (1925),Comedy|Family|Romance
16544,The Wizard of Oz (1925),Comedy|Family|Fantasy
16600,Along Came Auntie (1926),Comedy|Short
16847,Faust - Eine deutsche Volkssage (1926),Drama|Fantasy|Horror
16903,45 Minutes from Hollywood (1926),Short|Comedy
17075,The Lodger, A Story of the London Fog (1927)
17136,Metropolis (1927),Drama|Sci-Fi
17196,Nana (1926),Drama|Romance
17350,The Scarlet Letter (1926),Drama
17463,3 Bad Men (1926),Romance|Western
17668,Berlin, Die Sinfonie der Grosstadt (1927)
17729,Call of the Cuckoo (1927),Comedy|Short
17765,College (1927),Comedy|Drama|Sport
17825,Downhill (1927),Adventure|Drama|Thriller
17836,Duck Soup (1927),Comedy|Short
17841,East Side, West Side (1927)
17843,Easy Virtue (1928),Romance|Thriller
17925,The General (1926),Action|Adventure|Comedy|Romance|War
18033,It (1927),Comedy|Romance
18037,The Jazz Singer (1927),Drama|Music|Romance
18106,Love 'Em and Weep (1927),Comedy|Short
18217,Oktyabr (1928),Drama|History
18294,Putting Pants on Philip (1927),Comedy|Short
18328,The Ring (1927),Drama|Romance|Thriller
18356,Sailors, Beware! (1927)
18368,The Second 100 Years (1927),Comedy|Short
18452,Sugar Daddies (1927),Comedy|Short
